Mileage,Power,Transmission,Fuel,Drive_type,Doors,Seats,CO2_emissions,Engine_capacity,Emission_class,Year,Make,Body,Interior_material,price,Link
10,99.0,0,1,0,1,5,99.0,1199.0,3,2024,Opel,Hatchback,Cloth interior,20849,/car/69881804/opel-corsa-1-2-turbo-74-kw
30708,90.0,1,1,0,1,5,122.0,999.0,3,2023,Renault,SUV / offroad,Other interior material,19399,/car/69881478/renault-captur-tce-equilibre-67-kw
18,196.0,0,1,0,1,5,124.0,1598.0,3,2024,Hyundai,SUV / offroad,Cloth interior,33599,/car/69881219/hyundai-kona-1-6-dct-146-kw
10,99.0,0,1,0,1,5,99.0,1199.0,3,2024,Opel,Hatchback,Cloth interior,20849,/car/69881054/opel-corsa-1-2-turbo-74-kw
53719,72.0,1,1,0,1,5,135.0,999.0,1,2020,Dacia,Hatchback,Other interior material,11799,/car/69879335/dacia-sandero-sce-75-54-kw
27162,129.0,0,1,0,1,5,99.0,1199.0,3,2023,Opel,Hatchback,Other interior material,19599,/car/69879157/opel-corsa-1-2-96-kw
2611,83.0,1,1,0,1,5,105.0,1197.0,3,2024,Hyundai,Hatchback,Cloth interior,17799,/car/69879016/hyundai-i10-1-2-62-kw
0,201.0,0,0,1,1,5,126.0,1968.0,1,2024,Audi,Station Wagon,Other interior material,72249,/car/69878606/audi-a4-allroad-40-tdi-quattro-150-kw
16000,68.0,1,1,0,1,4,116.0,999.0,2,2024,Fiat,Hatchback,Other interior material,14749,/car/69878333/fiat-panda-1-0-hybrid-51-kw
11000,207.0,0,0,1,1,5,157.0,2143.0,2,2024,Alfa Romeo,SUV / offroad,Other interior material,50149,/car/69877764/alfa-romeo-stelvio-2-2-q4-154-kw
62741,161.0,0,1,0,1,5,165.0,1497.0,3,2021,SsangYong,Coupe,Other interior material,19249,/car/69866720/ssangyong-tivoli-120-kw
20,148.0,0,1,0,1,5,115.0,1498.0,3,2024,Cupra,Station Wagon,Cloth interior,37149,/car/69839943/cupra-leon-sportstourer-1-5-etsi-dsg-110-kw
10,148.0,0,1,1,1,5,125.0,1498.0,1,2024,Cupra,SUV / offroad,Cloth interior,35849,/car/69839831/cupra-ateca-110-kw
0,114.0,0,2,0,1,5,101.0,1490.0,1,2024,Toyota,SUV / offroad,Cloth interior,31799,/car/69839798/toyota-yaris-cross-1-5-hybrid-85-kw
10,138.0,1,0,0,1,3,209.0,2184.0,1,2024,Fiat,Cargo VAN,Cloth interior,32699,/car/69839648/fiat-ducato-35-140-103-kw
15,129.0,1,1,0,1,7,160.0,1330.0,1,2024,Renault,Cargo VAN,Part leather interior,32399,/car/69839628/renault-kangoo-grand-tce-130-equilibre-96-kw
